date,city,store,product_category,unit_price,quantity,total_sales,year,month
2023-10-16,Frankfurt,REWE,Beverages,3.71,8,29.68,2023,10
2024-01-14,Berlin,Aldi,Produce,3.97,10,39.7,2024,1
2024-05-04,Munich,Lidl,Snacks,3.27,2,6.54,2024,5
2023-08-19,Hamburg,Aldi,Bakery,2.89,5,14.45,2023,8
2023-02-10,Frankfurt,Lidl,Dairy,2.21,17,37.57,2023,2
2023-01-28,Munich,Lidl,Produce,2.27,8,18.16,2023,1
2023-05-15,Frankfurt,REWE,Beverages,1.78,2,3.56,2023,5
2023-07-20,Leipzig,Lidl,Household,9.35,2,18.7,2023,7
2023-02-02,Hamburg,Edeka,Dairy,3.92,17,66.64,2023,2
2023-02-17,Hamburg,Aldi,Beverages,1.65,8,13.2,2023,2
2024-05-17,Munich,Edeka,Household,5.39,20,107.8,2024,5
2024-02-11,Frankfurt,Edeka,Dairy,0.87,11,9.57,2024,2
2024-07-27,Cologne,REWE,Bakery,2.48,5,12.4,2024,7
2024-12-28,Berlin,Edeka,Beverages,1.29,13,16.77,2024,12
2023-04-09,Hamburg,REWE,Produce,3.11,9,27.99,2023,4
2024-11-14,Frankfurt,Aldi,Produce,1.78,18,32.04,2024,11
2024-12-26,Munich,Aldi,Produce,4.11,7,28.77,2024,12
2024-06-30,Leipzig,REWE,Household,8.95,5,44.75,2024,6
2024-09-04,Munich,Lidl,Produce,2.67,2,5.34,2024,9
2024-04-06,Hamburg,REWE,Snacks,1.35,16,21.6,2024,4
2024-10-04,Stuttgart,REWE,Household,14.03,16,224.48,2024,10
2023-01-05,Hamburg,Edeka,Dairy,4.32,20,86.4,2023,1
2023-08-06,Leipzig,Aldi,Household,11.8,10,118.0,2023,8
2024-05-17,Stuttgart,Aldi,Dairy,1.93,3,5.79,2024,5
2024-02-02,Cologne,Aldi,Dairy,3.72,12,44.64,2024,2
2024-01-28,Munich,REWE,Snacks,2.73,7,19.11,2024,1
2023-07-26,Frankfurt,REWE,Household,4.75,4,19.0,2023,7
2023-01-15,Stuttgart,Aldi,Produce,0.87,7,6.09,2023,1
2024-07-07,Berlin,REWE,Bakery,1.42,3,4.26,2024,7
2024-04-05,Berlin,Aldi,Produce,4.4,19,83.6,2024,4
2024-11-21,Cologne,Edeka,Snacks,1.14,12,13.68,2024,11
2024-07-28,Stuttgart,Edeka,Bakery,3.33,9,29.97,2024,7
2023-08-29,Stuttgart,REWE,Snacks,1.59,18,28.62,2023,8
2024-07-17,Frankfurt,Lidl,Beverages,4.62,1,4.62,2024,7
2023-04-06,Berlin,Aldi,Dairy,4.13,17,70.21,2023,4
2024-04-29,Berlin,Edeka,Dairy,3.72,10,37.2,2024,4
2024-02-11,Leipzig,Lidl,Snacks,2.2,20,44.0,2024,2
2023-08-19,Frankfurt,Edeka,Bakery,0.82,1,0.82,2023,8
2024-10-16,Leipzig,Aldi,Beverages,1.69,7,11.83,2024,10
2023-06-20,Stuttgart,Aldi,Beverages,4.92,3,14.76,2023,6
2024-06-24,Frankfurt,Edeka,Produce,0.94,18,16.92,2024,6
2023-02-05,Hamburg,REWE,Produce,4.88,10,48.8,2023,2
2024-06-08,Berlin,Aldi,Bakery,3.9,11,42.9,2024,6
2023-06-09,Stuttgart,Lidl,Produce,1.82,14,25.48,2023,6
2024-11-29,Berlin,Lidl,Dairy,0.93,1,0.93,2024,11
2023-08-31,Leipzig,REWE,Snacks,2.79,1,2.79,2023,8
2023-03-27,Cologne,Edeka,Dairy,1.51,19,28.69,2023,3
2024-07-31,Hamburg,Aldi,Beverages,4.67,20,93.4,2024,7
2024-11-12,Hamburg,Aldi,Beverages,2.67,19,50.73,2024,11
2024-07-10,Berlin,REWE,Snacks,1.74,19,33.06,2024,7
2024-07-27,Munich,Aldi,Bakery,2.72,9,24.48,2024,7
2024-10-07,Munich,Aldi,Beverages,1.82,11,20.02,2024,10
2023-01-28,Leipzig,Lidl,Bakery,3.9,13,50.7,2023,1
2024-09-11,Frankfurt,Lidl,Dairy,0.96,14,13.44,2024,9
2024-07-09,Hamburg,Edeka,Household,14.32,3,42.96,2024,7
2023-12-06,Berlin,Lidl,Household,5.88,4,23.52,2023,12
2023-11-27,Leipzig,Edeka,Produce,3.5,17,59.5,2023,11
2024-10-01,Leipzig,Lidl,Snacks,3.49,17,59.33,2024,10
2024-05-20,Stuttgart,Edeka,Produce,1.57,1,1.57,2024,5
2023-12-14,Berlin,Aldi,Bakery,2.32,9,20.88,2023,12
2024-04-17,Berlin,Aldi,Household,2.31,13,30.03,2024,4
2023-08-19,Leipzig,Lidl,Bakery,1.49,12,17.88,2023,8
2023-07-09,Stuttgart,Aldi,Dairy,1.31,6,7.86,2023,7
2023-08-13,Stuttgart,Edeka,Dairy,3.59,17,61.03,2023,8
2024-01-20,Cologne,REWE,Bakery,3.02,12,36.24,2024,1
2024-01-12,Munich,REWE,Dairy,2.61,10,26.1,2024,1
2023-10-10,Cologne,Aldi,Snacks,0.7,15,10.5,2023,10
2024-09-24,Berlin,Aldi,Beverages,2.03,7,14.21,2024,9
2024-09-19,Berlin,Lidl,Snacks,2.59,18,46.62,2024,9
2023-09-16,Hamburg,Lidl,Bakery,0.84,19,15.96,2023,9
2023-12-25,Hamburg,Edeka,Household,9.57,5,47.85,2023,12
2024-12-10,Munich,Edeka,Beverages,1.8,19,34.2,2024,12
2024-03-31,Stuttgart,REWE,Bakery,2.66,4,10.64,2024,3
2024-02-15,Frankfurt,Edeka,Household,12.28,16,196.48,2024,2
2024-10-10,Berlin,Aldi,Snacks,3.15,18,56.7,2024,10
2023-11-14,Hamburg,Aldi,Household,7.62,17,129.54,2023,11
2024-11-07,Munich,Lidl,Bakery,2.73,8,21.84,2024,11
2023-08-13,Cologne,Aldi,Dairy,2.77,15,41.55,2023,8
2023-08-22,Berlin,Edeka,Bakery,2.53,17,43.01,2023,8
2024-11-14,Frankfurt,Edeka,Snacks,1.78,16,28.48,2024,11
2024-10-25,Munich,Lidl,Household,12.26,4,49.04,2024,10
2024-01-09,Stuttgart,Edeka,Dairy,2.05,15,30.75,2024,1
2024-11-02,Frankfurt,Lidl,Beverages,3.96,13,51.48,2024,11
2024-08-30,Berlin,Aldi,Snacks,1.98,8,15.84,2024,8
2024-04-16,Munich,Lidl,Produce,2.04,6,12.24,2024,4
2023-08-21,Stuttgart,Edeka,Produce,2.14,17,36.38,2023,8
2024-11-22,Leipzig,Edeka,Snacks,1.91,6,11.46,2024,11
2023-04-23,Leipzig,REWE,Snacks,1.84,7,12.88,2023,4
2024-05-11,Hamburg,Lidl,Produce,3.69,9,33.21,2024,5
2024-03-17,Frankfurt,Edeka,Produce,3.04,16,48.64,2024,3
2024-07-17,Cologne,REWE,Household,8.64,16,138.24,2024,7
2023-09-25,Cologne,Aldi,Produce,1.27,13,16.51,2023,9
2024-05-24,Leipzig,Aldi,Snacks,2.02,19,38.38,2024,5
2024-01-21,Frankfurt,Aldi,Household,8.29,11,91.19,2024,1
2024-01-22,Berlin,Aldi,Dairy,3.42,1,3.42,2024,1
2023-04-23,Berlin,Aldi,Bakery,2.2,12,26.4,2023,4
2024-09-04,Berlin,Lidl,Household,8.75,1,8.75,2024,9
2024-09-16,Leipzig,Aldi,Household,7.21,16,115.36,2024,9
2023-03-22,Cologne,Edeka,Bakery,3.93,1,3.93,2023,3
2024-11-29,Cologne,Edeka,Dairy,3.97,18,71.46,2024,11
2023-04-23,Hamburg,Aldi,Bakery,0.94,6,5.64,2023,4
2023-01-02,Berlin,Aldi,Household,13.15,3,39.45,2023,1
2024-10-03,Cologne,REWE,Dairy,2.15,15,32.25,2024,10
2023-08-08,Cologne,Lidl,Dairy,2.03,9,18.27,2023,8
2024-07-19,Berlin,Edeka,Bakery,1.11,15,16.65,2024,7
2023-08-13,Berlin,Edeka,Bakery,3.7,2,7.4,2023,8
2024-01-20,Cologne,Edeka,Bakery,3.61,1,3.61,2024,1
2024-02-07,Stuttgart,Edeka,Beverages,5.67,12,68.04,2024,2
2024-09-29,Frankfurt,Aldi,Bakery,3.27,11,35.97,2024,9
2023-05-10,Cologne,Aldi,Snacks,1.0,13,13.0,2023,5
2023-02-22,Hamburg,Lidl,Snacks,0.77,6,4.62,2023,2
2024-11-14,Munich,REWE,Beverages,5.55,12,66.6,2024,11
2024-12-30,Stuttgart,Aldi,Snacks,2.24,11,24.64,2024,12
2024-11-02,Berlin,Edeka,Bakery,1.56,1,1.56,2024,11
2024-12-10,Leipzig,REWE,Beverages,1.43,16,22.88,2024,12
2024-02-20,Hamburg,Edeka,Household,3.89,10,38.9,2024,2
2023-09-04,Frankfurt,Lidl,Produce,1.21,2,2.42,2023,9
2024-03-14,Leipzig,Aldi,Household,10.32,16,165.12,2024,3
2023-07-22,Munich,Lidl,Produce,1.66,8,13.28,2023,7
2023-07-03,Stuttgart,Edeka,Dairy,1.93,20,38.6,2023,7
2023-05-03,Cologne,Aldi,Bakery,2.72,2,5.44,2023,5
2024-02-05,Berlin,Aldi,Dairy,3.72,11,40.92,2024,2
2023-10-21,Cologne,Aldi,Produce,2.3,18,41.4,2023,10
2023-10-07,Hamburg,Aldi,Snacks,0.81,9,7.29,2023,10
2024-09-01,Leipzig,Lidl,Beverages,4.26,6,25.56,2024,9
2023-07-17,Leipzig,Aldi,Produce,3.58,20,71.6,2023,7
2024-05-25,Berlin,REWE,Dairy,2.04,4,8.16,2024,5
2023-05-24,Cologne,Aldi,Snacks,0.7,9,6.3,2023,5
2024-08-31,Leipzig,Edeka,Beverages,3.86,7,27.02,2024,8
2023-07-20,Berlin,Lidl,Household,12.07,8,96.56,2023,7
2023-05-04,Hamburg,REWE,Snacks,1.31,11,14.41,2023,5
2023-07-06,Cologne,Edeka,Produce,2.81,16,44.96,2023,7
2023-11-22,Munich,Aldi,Snacks,2.65,11,29.15,2023,11
2024-04-08,Leipzig,Edeka,Snacks,2.35,7,16.45,2024,4
2023-12-15,Frankfurt,Lidl,Dairy,3.65,12,43.8,2023,12
2024-10-21,Cologne,Lidl,Snacks,1.84,15,27.6,2024,10
2024-02-07,Berlin,Aldi,Beverages,5.35,15,80.25,2024,2
2023-12-12,Stuttgart,REWE,Produce,1.93,10,19.3,2023,12
2024-05-25,Cologne,Lidl,Bakery,1.29,4,5.16,2024,5
2023-05-27,Berlin,Lidl,Snacks,2.9,16,46.4,2023,5
2023-05-28,Leipzig,REWE,Household,2.13,14,29.82,2023,5
2024-12-11,Stuttgart,Aldi,Produce,4.78,20,95.6,2024,12
2024-05-03,Hamburg,Edeka,Snacks,0.91,18,16.38,2024,5
2024-10-01,Stuttgart,Aldi,Snacks,2.91,1,2.91,2024,10
2024-07-04,Frankfurt,Aldi,Household,3.57,11,39.27,2024,7
2023-12-04,Berlin,Edeka,Dairy,1.84,6,11.04,2023,12
2024-10-02,Cologne,Edeka,Produce,3.2,20,64.0,2024,10
2024-04-17,Leipzig,Aldi,Beverages,1.7,8,13.6,2024,4
2023-05-31,Stuttgart,REWE,Bakery,1.11,6,6.66,2023,5
2024-02-19,Hamburg,Edeka,Snacks,3.31,18,59.58,2024,2
2023-10-25,Stuttgart,Lidl,Produce,3.74,14,52.36,2023,10
2024-09-02,Munich,Aldi,Produce,1.04,1,1.04,2024,9
2023-09-20,Cologne,Lidl,Snacks,2.15,19,40.85,2023,9
2023-05-24,Frankfurt,Lidl,Bakery,3.47,20,69.4,2023,5
2023-12-12,Hamburg,Edeka,Snacks,0.94,10,9.4,2023,12
2024-09-15,Cologne,REWE,Bakery,3.39,5,16.95,2024,9
2024-07-25,Berlin,Lidl,Produce,4.29,18,77.22,2024,7
2023-01-02,Berlin,Aldi,Snacks,1.66,1,1.66,2023,1
2023-10-31,Berlin,Edeka,Produce,4.98,16,79.68,2023,10
2023-09-11,Cologne,Lidl,Snacks,1.8,9,16.2,2023,9
2024-10-13,Frankfurt,Aldi,Snacks,3.23,8,25.84,2024,10
2024-03-28,Berlin,Aldi,Beverages,5.49,9,49.41,2024,3
2023-02-06,Cologne,Aldi,Dairy,3.44,10,34.4,2023,2
2023-06-09,Cologne,Lidl,Snacks,0.7,9,6.3,2023,6
2023-01-09,Leipzig,REWE,Household,10.88,5,54.4,2023,1
2023-08-21,Frankfurt,Lidl,Snacks,0.96,13,12.48,2023,8
2023-04-09,Hamburg,REWE,Produce,0.66,6,3.96,2023,4
2024-10-20,Hamburg,REWE,Bakery,1.38,3,4.14,2024,10
2023-07-27,Cologne,Edeka,Produce,2.8,5,14.0,2023,7
2023-05-11,Hamburg,Edeka,Household,7.99,9,71.91,2023,5
2024-02-08,Munich,REWE,Dairy,2.24,5,11.2,2024,2
2023-06-01,Frankfurt,Lidl,Snacks,2.2,1,2.2,2023,6
2023-02-23,Cologne,REWE,Produce,1.69,6,10.14,2023,2
2023-04-30,Hamburg,REWE,Household,6.07,6,36.42,2023,4
2024-11-03,Stuttgart,REWE,Bakery,1.47,1,1.47,2024,11
2024-09-19,Hamburg,Aldi,Dairy,2.47,14,34.58,2024,9
2024-08-09,Frankfurt,REWE,Dairy,3.44,15,51.6,2024,8
2024-09-16,Stuttgart,Aldi,Snacks,2.13,3,6.39,2024,9
2024-02-24,Berlin,REWE,Dairy,3.95,17,67.15,2024,2
2024-02-26,Hamburg,Lidl,Bakery,2.37,20,47.4,2024,2
2023-04-14,Stuttgart,Edeka,Produce,1.41,17,23.97,2023,4
2023-09-11,Frankfurt,Edeka,Dairy,2.7,3,8.1,2023,9
2023-08-15,Stuttgart,Aldi,Household,6.83,13,88.79,2023,8
2023-04-22,Leipzig,REWE,Beverages,3.46,14,48.44,2023,4
2024-05-24,Berlin,Lidl,Produce,0.94,12,11.28,2024,5
2024-04-17,Stuttgart,Aldi,Bakery,3.29,1,3.29,2024,4
2023-04-09,Leipzig,Lidl,Bakery,1.91,5,9.55,2023,4
2023-06-02,Cologne,REWE,Snacks,0.75,3,2.25,2023,6
2023-12-04,Leipzig,Edeka,Household,9.36,13,121.68,2023,12
2024-12-06,Berlin,REWE,Dairy,3.33,11,36.63,2024,12
2023-06-12,Hamburg,REWE,Snacks,0.9,11,9.9,2023,6
2024-12-20,Cologne,REWE,Dairy,2.19,20,43.8,2024,12
2024-11-11,Cologne,Edeka,Household,8.24,3,24.72,2024,11
2023-06-10,Berlin,Edeka,Household,8.54,3,25.62,2023,6
2024-08-02,Cologne,Aldi,Produce,0.66,12,7.92,2024,8
2024-02-02,Leipzig,Aldi,Snacks,2.47,12,29.64,2024,2
2023-10-04,Leipzig,Aldi,Snacks,0.96,11,10.56,2023,10
2024-05-18,Berlin,Edeka,Snacks,1.68,10,16.8,2024,5
2024-01-27,Berlin,Edeka,Snacks,2.12,4,8.48,2024,1
2023-05-15,Stuttgart,REWE,Beverages,4.75,14,66.5,2023,5
2023-07-14,Leipzig,REWE,Beverages,2.83,10,28.3,2023,7
2024-02-05,Berlin,Lidl,Household,12.68,9,114.12,2024,2
2024-10-01,Leipzig,Lidl,Snacks,2.86,4,11.44,2024,10
2023-02-02,Frankfurt,Aldi,Dairy,2.3,19,43.7,2023,2
2024-11-18,Hamburg,REWE,Snacks,3.15,20,63.0,2024,11
2024-04-04,Cologne,REWE,Beverages,5.81,8,46.48,2024,4
2024-04-14,Munich,Lidl,Beverages,2.35,8,18.8,2024,4
2024-01-10,Stuttgart,Aldi,Snacks,3.0,2,6.0,2024,1
2023-01-22,Hamburg,REWE,Snacks,1.5,12,18.0,2023,1
2024-10-31,Munich,Lidl,Dairy,3.34,19,63.46,2024,10
2023-02-07,Berlin,Aldi,Household,10.68,17,181.56,2023,2
2023-08-18,Cologne,Aldi,Household,12.28,7,85.96,2023,8
2023-12-31,Stuttgart,Aldi,Household,4.83,15,72.45,2023,12
2024-07-16,Hamburg,Lidl,Beverages,5.67,18,102.06,2024,7
2024-03-13,Munich,REWE,Snacks,1.9,6,11.4,2024,3
2023-10-10,Munich,Lidl,Bakery,0.81,7,5.67,2023,10
2023-01-27,Munich,REWE,Snacks,2.86,20,57.2,2023,1
2023-08-14,Hamburg,REWE,Beverages,5.66,1,5.66,2023,8
2023-10-04,Frankfurt,REWE,Bakery,3.9,3,11.7,2023,10
2024-08-31,Berlin,Edeka,Bakery,1.96,1,1.96,2024,8
2023-10-11,Cologne,Edeka,Bakery,0.87,16,13.92,2023,10
2024-04-25,Munich,Edeka,Dairy,2.07,9,18.63,2024,4
2024-03-28,Stuttgart,Aldi,Snacks,3.17,12,38.04,2024,3
2024-10-20,Hamburg,REWE,Household,12.97,5,64.85,2024,10
2024-05-30,Stuttgart,Aldi,Bakery,2.01,20,40.2,2024,5
2024-06-30,Munich,Lidl,Dairy,1.37,11,15.07,2024,6
2023-07-11,Hamburg,REWE,Beverages,4.22,1,4.22,2023,7
2023-02-18,Stuttgart,Edeka,Bakery,2.92,10,29.2,2023,2
2024-05-26,Frankfurt,Lidl,Household,10.2,16,163.2,2024,5
2023-01-17,Munich,Edeka,Snacks,1.12,15,16.8,2023,1
2023-06-21,Leipzig,Lidl,Bakery,3.44,18,61.92,2023,6
2023-08-08,Munich,REWE,Beverages,1.18,5,5.9,2023,8
2023-06-07,Cologne,REWE,Beverages,5.85,10,58.5,2023,6
2024-04-21,Hamburg,Aldi,Bakery,3.69,20,73.8,2024,4
2023-02-15,Hamburg,Edeka,Snacks,3.48,1,3.48,2023,2
2024-01-08,Frankfurt,Edeka,Dairy,3.02,18,54.36,2024,1
2024-06-01,Munich,REWE,Bakery,2.73,17,46.41,2024,6
2023-04-09,Cologne,Aldi,Beverages,2.92,12,35.04,2023,4
2023-02-06,Stuttgart,Aldi,Dairy,1.22,1,1.22,2023,2
2023-10-07,Berlin,Edeka,Snacks,2.81,7,19.67,2023,10
2023-12-15,Cologne,REWE,Bakery,2.37,1,2.37,2023,12
2024-05-11,Stuttgart,Edeka,Beverages,2.82,20,56.4,2024,5
2023-10-29,Cologne,REWE,Dairy,4.04,9,36.36,2023,10
2023-06-30,Stuttgart,Edeka,Produce,0.51,3,1.53,2023,6
2024-08-29,Cologne,REWE,Dairy,2.57,10,25.7,2024,8
2023-04-09,Leipzig,Aldi,Beverages,4.26,15,63.9,2023,4
2024-11-30,Cologne,Aldi,Beverages,1.02,10,10.2,2024,11
2023-04-26,Munich,Edeka,Produce,3.77,19,71.63,2023,4
2023-07-10,Cologne,Aldi,Produce,1.25,20,25.0,2023,7
2023-09-10,Stuttgart,Edeka,Household,12.99,8,103.92,2023,9
2023-06-10,Stuttgart,Aldi,Household,11.94,13,155.22,2023,6
2023-09-13,Hamburg,Edeka,Produce,1.13,20,22.6,2023,9
2023-11-19,Stuttgart,Aldi,Snacks,2.31,6,13.86,2023,11
2023-05-08,Hamburg,REWE,Beverages,4.79,20,95.8,2023,5
2023-01-18,Leipzig,Aldi,Bakery,0.89,13,11.57,2023,1
2024-07-19,Leipzig,REWE,Snacks,2.23,9,20.07,2024,7
2024-07-23,Stuttgart,Aldi,Beverages,1.25,1,1.25,2024,7
2023-11-19,Cologne,Aldi,Dairy,3.09,16,49.44,2023,11
2024-11-16,Stuttgart,REWE,Produce,4.47,16,71.52,2024,11
2024-09-17,Leipzig,Lidl,Dairy,2.26,17,38.42,2024,9
2023-10-15,Hamburg,Edeka,Household,7.67,16,122.72,2023,10
2024-10-24,Leipzig,Lidl,Bakery,3.93,2,7.86,2024,10
2024-09-30,Munich,Aldi,Snacks,1.98,10,19.8,2024,9
2023-06-04,Leipzig,Edeka,Dairy,1.86,17,31.62,2023,6
2024-05-04,Leipzig,Edeka,Bakery,3.99,4,15.96,2024,5
